NOMBRE,CANTIDAD,PRECIO COMPRA,PRECIO VENTA,CÓDIGO BARRAS ITEM,CÓDIGO BARRAS CAJA,UNIDAD MEDIDA,CATEGORÍA
ACUARELAS CARTON C/12 40601 3/6 SMARTY,3,17.77,19.48,7872571379792,,Pieza,
BLOCK REMISION 1/4 DUPLICADO 5/15 JOCAR,5,4.55,6.48,,,Pieza,
BOLIGRAFO PIN POINT MEDIANO AZUL 1MM 12/36 AZOR,12,3.61,5.48,7501428727256,,Pieza,
BOLIGRAFO PIN POINT MEDIANO NEGRO 1MM 12/36 AZOR,12,3.61,5.48,7501428727249,,Pieza,
BOLIGRAFO PIN POINT MEDIANO ROJO 1MM 12/36 AZOR,12,3.61,5.48,7501428727232,,Pieza,
CARTULINA BRISTOL BLANCA 50X65 25/50 SM,25,3.32,3.98,,,Pieza,
CARTULINA BRISTOL COLORES 50X65 25/40 SM,25,2.89,4.48,,,Pieza,
CARTULINA FLUORECENTE COLORES 10/40 PLIEGO SM,10,5.65,7.47,,,Pieza,
CARTULINA IRIS PLIEGO 50X65 5/20 MARCAS,5,7.54,10.48,,,Pieza,
CASCARON 1/8 28X35.5 5/10 DIPATH,5,4.72,8.48,,,Pieza,
CINTA ADH. TRANSPARENTE 48X50 3/6 JANEL,3,16.7,23.98,,,Pieza,
CLIP TROPICALIZADO No.3 100PZ 2/5 BACO,2,12.86,13.98,7501174912029,,Pieza,
PLASTILINA CAJA 10 BARRAS 20004 3/6 SMARTY,9,12.96,17.48,787257020134,,Pieza,
CORRECTOR PLUMA 5ML PCOR2 3/6 JUMBO,3,8.54,13.48,7502285732797,,Pieza,
CRAYON TRIAN. 12 JUMBO 40516 3/6 SMARTY,3,29.61,36.98,787257135418,,Pieza,
CUADERNO ITALIANO ESPIRAL RAYA 100H 6/25 JOCAR,6,13.75,17.98,,,Pieza,
CUADERNO ITALIANO ESPIRAL C-7 100H 6/25 JOCAR,6,13.75,17.98,,,Pieza,
CUADERNO PROF. ESP. RAYA 100H 08085 5/25 SWING,5,17.06,20.48,7872571423310,,Pieza,
CUADERNO PROF. ESP. C-7 100H 08088 5/25 SWING,5,17.06,20.48,,,Pieza,
DIUREX ADH. 12X10 25/50 OFFILAND,25,1.57,2.98,7501887514831,,Pieza,
FOAMI CARTA COLORES 12/24 MARCAS,12,2.03,3.98,,,Pieza,
FOAMI CARTA DIAMANTADO 5/20 COLORES,5,4.55,6.98,,,Pieza,
FOAMI PLIEGO 70X95 3/6 MARCAS,3,21.46,28.48,,,Pieza,
FOAMI PLIEGO DIAMANTADO 55X43 5/10 SM,5,19.06,25.48,,,Pieza,
GISES BLANCOS C/12 72009 3/6 BACO,3,8,11.48,7501174972009,,Pieza,
GISES COLORES 12 72023 3/6 BACO,3,13.2,16.48,7501174972023,,Pieza,
GOMA GM-20 PM 10/20 MAE,10,4.64,7.48,,,Pieza,
HOJA CARTA COLOR VENTA S 50/100 SM,50,0.63,2.48,,,Pieza,
JUEGO GEOMETRIA MEDIANO 2032 3/6 KOALA,3,19.6,25.48,7501853903027,,Pieza,
LAPIZ DUO GRAFITO-ROJO E-960 10/30 TRYME,10,4.08,5.48,,,Pieza,
LAPIZ TRIANGULAR BLACK PEPS 12/36 MAPED,12,4.12,5.48,3154148517214,,Pieza,
LAPIZ GRAFITO HB2 C/36 12/36 PAPER M,12,1.79,2.98,,,Pieza,
LIGA COLORES N.10 80GR SOL 1/3 ABI,1,16.19,20.48,7501210200110,,Pieza,
MARCADOR PERM. FINO NEGRO TATOO 3/10 BACO,3,12.25,15.48,,,Pieza,
MARCATEXTO FLUOR GRUESA COLORES BACOFLAH,5,10.89,12.98,7501174950793,,Pieza,
CUTTER GRANDE SOLIDOS 10052 5/10 SMART,5,10.76,16.48,787257091059,,Pieza,
PLUMIN 24 COLORES WT6816-24 2/3 SHELY,2,36.15,52.48,7502276781148,,Pieza,
PAPEL BOND BLANCO PLIEGO 70X95 25/50 SM,25,2.78,3.98,,,Pieza,
PAPEL BOND C-7 PLIEGO 70X95 25/50 SM,25,2.56,3.98,,,Pieza,
PAPEL BOND CARTA PAQ C/500 97% 1/3 AZUL SCRIBE,1,131.54,0.48,,,Pieza,
PAPEL CHINA COLORES 50X75 25/100 SM,25,1.19,2.73,,,Pieza,
PAPEL CREPE COLORES 50X2M 10/30 PINGUINO,10,5.95,8.55,,,Pieza,
PAPEL FANTASIA T/OCASION 25/50 MARCAS,25,4.9,7.98,,,Pieza,
PAPEL LUSTRE COLORES PLIEGO 50X75 25/50 SM,25,2.59,6.48,,,Pieza,
PEGAMENTO ADH. 21GR 10-20 3/6 DIXON,3,20.64,25.48,7206715155,,Pieza,
PEGAMENTO BLANCO 20GR 12/25 PEGA QUIP,12,2.42,4.48,,,Pieza,
PINZA SUJETA PAPEL 19MM 15120 C/12 2/5 SMART,2,17.72,22.48,,,Pieza,
REGLA MADERA 30CM ANGOSTA 6/10 SILVA,10,3.2,5.48,7500408000202,,Pieza,
SOBRE MANILA CARTA C/H 23X30.5 10/25 CANSA,10,5.85,8.48,,,Pieza,
"TIJERA ESCOLAR 5"" PTIHH9 E-288 5/10 JUMBO",5,10.21,15.48,7502285731349,,Pieza,
TRANSPORTADOR 180° 180T 12CM 10/25 BARRILITO,10,5.43,8.48,7501214968122,,Pieza,
FOLDER CARTA COLORES VENTA 25/50 SUELTA,25,2.07,5.55,,,Pieza,
FOLDER OFICIO COLORES VENTA S 15/50,25,2.01,8.49,,,Pieza,
PINTURA CARTEL 20ML 5/10 BACO,5,6.24,8.48,,,Pieza,
DIAMANTINA AZUCAR C15 10GR 10/20 SELANUSA,10,3.05,5.48,,,Pieza,
LIMPIA PIPAS NORMAL COLORES 24/50 SELANUSA,24,0.28,5.48,,,Pieza,
MASKING ADH 24X50 E-36 3/6 DEVEK,3,26.42,33.48,7502008430337,,Pieza,
SACAPUNTA PLASTICO BOLSA 25PZ E-100 1/3 KAISER,25,18.12,2.98,,,Pieza,
